# Generated by scripts/generate from mods.json. Do NOT hand-edit.
# Columns (TAB-separated): filename	sha256	url	dest	tiers	prefix
BiomesOPlenty-fabric-1.21.11-21.11.0.32.jar	89d39707bc095516ba1bf4f162628dfba51dd58a3bcac14c74a14ffefc18f00a	https://cdn.modrinth.com/data/HXF82T3G/versions/JJKbM72H/BiomesOPlenty-fabric-1.21.11-21.11.0.32.jar	mods	*	BiomesOPlenty-fabric-
TerraBlender-fabric-1.21.11-21.11.0.0.jar	3f0567c194d579677b42dd57eeb912e4e558ca069f4fc525213d182e60113772	https://cdn.modrinth.com/data/kkmrDlKT/versions/chxo508B/TerraBlender-fabric-1.21.11-21.11.0.0.jar	mods	*	TerraBlender-fabric-
GlitchCore-fabric-1.21.11-21.11.0.4.jar	8c5b3912d167640f1911982781578ccfb3fbb11e73fcee319c7ff44045a6e8ef	https://cdn.modrinth.com/data/s3dmwKy5/versions/CO7NeLTt/GlitchCore-fabric-1.21.11-21.11.0.4.jar	mods	*	GlitchCore-fabric-
StorageDrawers-fabric-1.21.11-20.0.0.jar	5910484b2ad3813094600a229ef95bc6947cfe3815869b6fa418b139a037fdf9	https://cdn.modrinth.com/data/guitPqEi/versions/Q9r8LMQL/StorageDrawers-fabric-1.21.11-20.0.0.jar	mods	*	StorageDrawers-fabric-
carryon-fabric-1.21.11-2.9.2.jar	ac6c68baf2cbffef7de6739423aa615f151c8f1601bacf30921c8bd88f3f932d	https://cdn.modrinth.com/data/joEfVgkn/versions/KOFV3duz/carryon-fabric-1.21.11-2.9.2.jar	mods	*	carryon-fabric-
FarmersDelight-1.21.11-3.6.13+refabricated.jar	3b3caa7a3c9b7ddc0a28f620ec729da6ab00a181fd8667de104324a5bb9015d1	https://cdn.modrinth.com/data/7vxePowz/versions/yXs9snmN/FarmersDelight-1.21.11-3.6.13%2Brefabricated.jar	mods	*	FarmersDelight-
Adorn-7.6.1+1.21.11-fabric.jar	d431be4ee89d0d71b1ababedaa5275f478cfff5de94eba1165f5cd10d1b676d3	https://cdn.modrinth.com/data/E6FUtRJh/versions/tyOUUBLZ/Adorn-7.6.1%2B1.21.11-fabric.jar	mods	*	Adorn-
mdm-26.7.0-fabric-1.21.11.jar	dded3b56d982410de040d7e0c3f3e068876f126bc4077c9a426d90f1695abe0b	https://cdn.modrinth.com/data/TmUXSYKk/versions/q1Kv9EdP/mdm-26.7.0-fabric-1.21.11.jar	mods	*	mdm-
FantasticWings-v21.11.1-mc1.21.11-Fabric.jar	b7cc2eb1814fe5c5eb3b0b3e6af399d4be0bcda44af3bd9b02994fdd6f3d7e43	https://cdn.modrinth.com/data/iGEcTqwK/versions/5zJKhkHi/FantasticWings-v21.11.1-mc1.21.11-Fabric.jar	mods	*	FantasticWings-
create-fly-1.21.11-6.0.9-5.jar	55f59380921fada030cd1adaba950393d492f731c2e4d982294d34258c739b9b	https://cdn.modrinth.com/data/dKvj0eNn/versions/fn0H9rSj/create-fly-1.21.11-6.0.9-5.jar	mods	*	create-fly-
cc-tweaked-1.21.11-fabric-1.117.1.jar	ba773f0a6a942a8f5d628689470299ebe5e362a931993bda8c4f232f42556494	https://cdn.modrinth.com/data/gu7yAYhd/versions/IikPYYtH/cc-tweaked-1.21.11-fabric-1.117.1.jar	mods	*	cc-tweaked-
expanded_weaponry-0.8.jar	4c1175a1e31780d05c3cc7b2c924a20d0df887c712218e8cc3c8d49c7200b1be	https://cdn.modrinth.com/data/q8rZUpjS/versions/91zQqaH6/expanded_weaponry-0.8.jar	mods	*	expanded_weaponry-
animal_feeding_trough-1.2.0+1.21.11.jar	e4a62c4a6427a3779c3507c41901a57238d44c7665f29bdb9c4b5f653d3ab92c	https://cdn.modrinth.com/data/bRFWnJ87/versions/aTRE6QT1/animal_feeding_trough-1.2.0%2B1.21.11.jar	mods	*	animal_feeding_trough-
connectiblechains-2.5.7+1.21.11.jar	ee37964f95329511c789c323d7d3b047423e0b69f93ba26f751a293183e354dd	https://cdn.modrinth.com/data/ykSfIgTw/versions/h8RIIOQq/connectiblechains-2.5.7%2B1.21.11.jar	mods	*	connectiblechains-
skinlayers3d-fabric-1.11.2-mc1.21.11.jar	31243ee08b76b3dab71d7761963f317125c536f6b8984795e7b02811b4f80e97	https://cdn.modrinth.com/data/zV5r3pPn/versions/3kCdl1bI/skinlayers3d-fabric-1.11.2-mc1.21.11.jar	mods	*	skinlayers3d-fabric-
AmbientSounds_FABRIC_v6.3.5_mc1.21.11.jar	e2a657ad18fcc4382418dcff9ddc411ae4912001c8cb90766020bb7cfdcbb9fb	https://cdn.modrinth.com/data/fM515JnW/versions/JZUqW70J/AmbientSounds_FABRIC_v6.3.5_mc1.21.11.jar	mods	*	AmbientSounds_FABRIC_
architectury-19.0.1-fabric.jar	661395d6f0bef0d3a794e2db74df5600c7387ba6fb946b172315977201a667c7	https://cdn.modrinth.com/data/lhGA9TYQ/versions/uNdfrcQ8/architectury-19.0.1-fabric.jar	mods	*	architectury-
cloth-config-21.11.153-fabric.jar	8a40c84e5ecde525acfb6c4e13b8002dacfca3ef9534d7faf6e8049656f423c8	https://cdn.modrinth.com/data/9s6osm5g/versions/xuX40TN5/cloth-config-21.11.153-fabric.jar	mods	*	cloth-config-
ComplementaryUnbound_r5.8.1.zip	bb89b1fc54687d4147a837fb2e3c3f7261a13bee51819761e9b6a91cb7915965	https://cdn.modrinth.com/data/R6NEzAwj/versions/VMHXIk50/ComplementaryUnbound_r5.8.1.zip	shaderpacks	pandit,modi	-
continuity-3.0.1-beta.1+1.21.11.jar	1d4d4e86fb20bd0b078fcc518f4641d21985cc8bfaefa6dd49cfa1beff52ac83	https://cdn.modrinth.com/data/1IjD5062/versions/mX1iknM1/continuity-3.0.1-beta.1%2B1.21.11.jar	mods	*	continuity-
CreativeCore_FABRIC_v2.14.11_mc1.21.11.jar	a8e759b023b2de920022d32d1e09bd3c6c9ad32546ccc114f1951100c58984d8	https://cdn.modrinth.com/data/OsZiaDHq/versions/jyLHWJlj/CreativeCore_FABRIC_v2.14.11_mc1.21.11.jar	mods	*	CreativeCore_FABRIC_
cullleaves-fabric-4.1.1.1+1.21.11.jar	fc82497837bdb26d50468383da79fd12aecb2a51d09d94c892baaa55cd3829d3	https://cdn.modrinth.com/data/GNxdLCoP/versions/yrL6pwHZ/cullleaves-fabric-4.1.1.1%2B1.21.11.jar	mods	*	cullleaves-fabric-
entity_texture_features-7.2.1-1.21.11-fabric.jar	a5630cef60a8d13d77f2fd9e56de6fd0381187a1bfca4713e8e5f276f235c50e	https://cdn.modrinth.com/data/BVzZfTc1/versions/9uQFLvtW/entity_texture_features-7.2.1-1.21.11-fabric.jar	mods	*	entity_texture_features-
fabric-language-kotlin-1.13.13+kotlin.2.4.10.jar	34ccdacf13bb9351fe43ce61912c2e09b72364e43e787d36ba3d2d04dec75a52	https://cdn.modrinth.com/data/Ha28R6CL/versions/bdhiINYC/fabric-language-kotlin-1.13.13%2Bkotlin.2.4.10.jar	mods	*	fabric-language-kotlin-
ImmediatelyFast-Fabric-1.14.3+1.21.11.jar	c6e939744ed80345a1a70c351c481b8832d33970d6574b8d444dfe750abc2a86	https://cdn.modrinth.com/data/5ZwdcRci/versions/4EwhsTu7/ImmediatelyFast-Fabric-1.14.3%2B1.21.11.jar	mods	*	ImmediatelyFast-Fabric-
InventoryProfilesNext-fabric-1.21.11-2.2.6.jar	1d971f0f624c8f2d2693004aff96cb9546d65e3ab950d63563c769242d2c6474	https://cdn.modrinth.com/data/O7RBXm3n/versions/YKjWPbto/InventoryProfilesNext-fabric-1.21.11-2.2.6.jar	mods	*	InventoryProfilesNext-fabric-
iris-fabric-1.10.7+mc1.21.11.jar	58c55da18189c91a49f847d3cee451633a23b575fb69c0c5b65ddb274436cb19	https://cdn.modrinth.com/data/YL57xq9U/versions/fDpuVzVr/iris-fabric-1.10.7%2Bmc1.21.11.jar	mods	pandit,modi	iris-fabric-
Jade-1.21.11-Fabric-21.1.6.jar	bcf1a7f6f9eb325b89d65bc15b41a35fdca2c2b052e9af772ffdcd70548d2fc8	https://cdn.modrinth.com/data/nvQzSEkH/versions/swJhAyak/Jade-1.21.11-Fabric-21.1.6.jar	mods	*	Jade-
lambdynamiclights-4.9.1+1.21.11.jar	99bcfbb13cbd7c98ec9574c2959a1c6a145aac26efed54bcb32ebf08abf9282c	https://cdn.modrinth.com/data/yBW8D80W/versions/5Tp7kdU0/lambdynamiclights-4.9.1%2B1.21.11.jar	mods	*	lambdynamiclights-
libIPN-fabric-1.21.11-6.6.3.jar	94a52d56ec41e31a98089aeff07baf25534986922d572eac85475b5e2736c9af	https://cdn.modrinth.com/data/onSQdWhM/versions/ByG214OZ/libIPN-fabric-1.21.11-6.6.3.jar	mods	*	libIPN-fabric-
modflared-1.6.0+release.129.jar	5389a4c89dc91ad1edabff96c92d98cec85a5fc0a6e8120885f04cfd3f371943	https://cdn.modrinth.com/data/uRHq6kbO/versions/ylsFkqBg/modflared-1.6.0%2Brelease.129.jar	mods	*	modflared-
PresenceFootsteps-1.12.4+1.21.11.jar	c333a4f82696b38ed0fd0558878dce67489c6105b00fafe01cccba73155ae569	https://cdn.modrinth.com/data/rcTfTZr3/versions/xjmToylJ/PresenceFootsteps-1.12.4%2B1.21.11.jar	mods	*	PresenceFootsteps-
Presence Footsteps R3.zip	d33bf876c957a0c2f570f55586948440d9cb849b549d744d26d80733f5ec286f	https://cdn.modrinth.com/data/qSJqZIl1/versions/yAgMm4Uo/Presence%20Footsteps%20R3.zip	resourcepacks	*	-
sodium-fabric-0.8.14-beta.2+mc1.21.11.jar	24990c1c497bdda4605c595f4ee65aaf32f724b1498a33c63f43cb4500280c51	https://cdn.modrinth.com/data/AANobbMI/versions/vqUoGREs/sodium-fabric-0.8.14-beta.2%2Bmc1.21.11.jar	mods	dalit	sodium-fabric-
sodium-fabric-0.8.7+mc1.21.11.jar	c08fae86b350aaa8a8f37e7347929df38f01cc2348cf31c322615564bdc53983	https://cdn.modrinth.com/data/AANobbMI/versions/UddlN6L4/sodium-fabric-0.8.7%2Bmc1.21.11.jar	mods	pandit,modi	sodium-fabric-
sound-physics-remastered-fabric-1.21.11-1.5.1.jar	17a4c14f58b739d275089262fc2015ff1548425202e6e4d7ce8cecf3122cdbca	https://cdn.modrinth.com/data/qyVF9oeo/versions/pfqxi9qs/sound-physics-remastered-fabric-1.21.11-1.5.1.jar	mods	*	sound-physics-remastered-fabric-
voxelmap-fabric-1.21.11-1.15.13.jar	1fe8ed68c671a6c4a80e064a8178102d674df0bec7aebb06bb857aafadf2d0a7	https://cdn.modrinth.com/data/wkzK5379/versions/tRdGJKGE/voxelmap-fabric-1.21.11-1.15.13.jar	mods	*	voxelmap-fabric-
